Date,Exchange_Rate_GBP_USD,FTSE100_Index,Inflation_Rate,Interest_Rate,GDP_Growth,Unemployment_Rate,CPI
2018-01-17,1.3798813819885254,7725.39990234375,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-18,1.382800817489624,7701.0,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-19,1.3894678354263306,7730.7998046875,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-20,1.3894678354263306,7730.7998046875,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-21,1.3894678354263306,7730.7998046875,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-22,1.3891589641571045,7715.39990234375,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-23,1.3984841108322144,7731.7998046875,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-24,1.401738166809082,7643.39990234375,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-25,1.4220906496047974,7615.7998046875,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-26,1.4150274991989136,7665.5,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-27,1.4150274991989136,7665.5,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-28,1.4150274991989136,7665.5,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-29,1.4149274826049805,7671.5,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-30,1.4076577425003052,7588.0,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-01-31,1.4155884981155396,7533.60009765625,2.29283990345938,0.5225,0.0785119195,4.290267,104.5
2018-02-01,1.420051097869873,7490.39990234375,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-02,1.4266760349273682,7443.39990234375,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-03,1.4266760349273682,7443.39990234375,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-04,1.4266760349273682,7443.39990234375,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-05,1.411133885383606,7335.0,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-06,1.3943694829940796,7141.39990234375,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-07,1.395868182182312,7279.39990234375,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
2018-02-08,1.3879250288009644,7170.7001953125,2.29283990345938,0.54683,0.0785119195,4.290267,104.9
